영화제목,평점,예매율,개봉날짜,영화설명,파일명
해적: 도깨비 깃발,7.0,39.3,22.01.26,"“가자, 보물 찾으러!” 자칭 고려 제일검인 의적단 두목 `무치`(강하늘)와바다를 평정한 해적선의 주인 `해랑`(한효주). 한 배에서 운명을 함께하게 된 이들이지만산과 바다, 태생부터 상극으로 사사건건 부딪히며 바람 잘 날 없는 항해를 이어간다.그러던 어느 날, 왜구선을 소탕하던 이들은흔적도 없이 사라진 왕실의 보물이 어딘가 숨겨져 있다는 사실을 알게 되고해적 인생에 다시없을 최대 규모의 보물을 찾아 위험천만한 모험에 나서기 시작한다.하지만 사라진 보물을 노리는 건 이들뿐만이 아니었으니!원하는 것을 얻기 위해 수단과 방법을 가리지 않는 역적 `부흥수`(권상우)또한보물을 차지하기 위해 바다에 뛰어드는데...!해적과 의적, 그리고 역적사라진 보물! 찾는 자가 주인이다!",해적  도깨비 깃발
킹메이커,8.4,20.9,22.01.26,"세상을 바꾸기 위해 도전하는 정치인 ‘김운범’ 앞에그와 뜻을 함께하고자 선거 전략가 ‘서창대’가 찾아온다.열세인 상황 속에서 서창대는 아무도 상상하지 못한 선거 전략을 펼치고‘김운범’은 선거에 연이어 승리하며, 당을 대표하는 대통령 후보까지 올라서게 된다.대통령 선거를 향한 본격적인 행보가 시작되고 그들은 당선을 위해 총력을 기울인다. 그러던 중 ‘김운범’ 자택에 폭발물이 터지는 사건이 발생하고용의자로 ‘서창대’가 지목되면서 둘의 관계는 새로운 국면을 맞이하게 되는데...치열한 선거판,그 중심에 있던 두 남자의 이야기가 시작된다!",킹메이커
스파이더맨: 노 웨이 홈,7.2,6.7,21.12.15,"영화 <스파이더맨: 노 웨이 홈>은 정체가 탄로난 스파이더맨 '피터 파커'(톰 홀랜드)가문제를 해결하기 위해 '닥터 스트레인지'(베네딕트 컴버배치)의 도움을 받던 중 뜻하지 않게 멀티버스가 열리게 되고,이를 통해 '닥터 옥토퍼스'(알프리드 몰리나) 등 각기 다른 차원의 숙적들이 나타나며 사상 최악의 위기를 맞게 되는 이야기를 그린 마블 액션 블록버스터.",스파이더맨  노 웨이 홈
듄,7.0,5.9,21.10.20,"“듄을 지배하는 자가 우주를 지배한다!”10191년, 아트레이데스 가문의 후계자인 폴(티모시 샬라메)은 시공을 초월한 존재이자전 우주를 구원할 예지된 자의 운명을 타고났다.그리고 어떤 계시처럼 매일 꿈에서 아라키스 행성에 있는 한 여인을 만난다.모래언덕을 뜻하는 '듄'이라 불리는 아라키스는 물 한 방울 없는 사막이지만우주에서 가장 비싼 물질인 신성한 환각제 스파이스의 유일한 생산지로 이를 차지하기 위한 전쟁이 치열하다.황제의 명령으로 폴과 아트레이데스 가문은 죽음이 기다리는 아라키스로 향하는데…위대한 자는 부름에 응답한다, 두려움에 맞서라, 이것은 위대한 시작이다!",듄
극장판 안녕 자두야: 제주도의 비밀,9.9,4.4,22.01.27,"`자두`는 제주도 가족여행에서 만난엄친딸 제주 소녀 `전복`이가 못마땅하다.게다가 `윤석`이를 바라보는 저 하트 눈빛은 뭐람!베프 윤석이를 전복이가 독차지하자화가 난 자두는 실수로 돌하르방을 넘어뜨리고,먼 옛날 저주를 품고 봉인된 `보리`가 깨어난다.보리가 쏜 돌하르방 빔에 맞은 사람들은 돌이 되어 굳어 버리고,자두와 친구들은 모두를 원상태로 되돌릴 방법을 찾아 나서는데…제주도로 자! 떠나보자 두!명랑히어로 자두의 판타스틱 어드벤처!제주도의 운명이 걸린 초특급 비밀은 과연 무엇일까?",극장판 안녕 자두야  제주도의 비밀
씽2게더,8.7,3.8,22.01.05,"전 세계가 주목한 스테이지! 함께 도전할 준비됐지?대국민 오디션 이후 각자의 자리에서 꿈을 이루고 있는 버스터 문(매튜 맥커너히)과 크루들에게 레드 쇼어 시티에서 전 세계가 주목하는 사상 최고의 쇼가 펼쳐진다는 소식이 들려오고 버스터 문과 크루들은 도전에 나선다.그러나 최고의 스테이지에 서기 위한 경쟁은 이전과는 비교도 할 수 없을 만큼 치열하고, 버스터 문은 완벽한 라이브를 위해 종적을 감춘 레전드 뮤지션 클레이(보노)를 캐스팅하겠다는 파격 선언을 하는데!",씽2게더
덩케르크,7.5,3.5,22.02.09,"""우린 끝까지 싸울 것이다""
살아남는 것이 승리다!해변: 보이지 않는 적에게 포위된 채 어디서 총알이 날아올지 모르는 위기의 일주일
바다: 군인들의 탈출을 돕기 위해 배를 몰고 덩케르크로 항해하는 하루
하늘: 적의 전투기를 공격해 추락시키는 임무, 남은 연료로 비행이 가능한 한 시간“우리는 해변에서 싸울 것이다. 우리는 상륙지에서 싸울 것이다. 우리는 들판에서 싸우고 시가에서도 싸울 것이다. 우리는 끝까지 싸울 것이다”",덩케르크
해리포터와 불사조 기사단,8.2,2.8,22.02.09,"호그와트 최대 위기! 볼드모트 그가 돌아왔다!어둠의 세력에 빠진 호그와트를 구하기 위해 해리포터와 불사조 기사단, 그들이 손을 잡았다!호그와트 마법학교에서 5번째 해를 맞이하게 된 해리포터(다니엘 래드클리프). 헤르미온느(엠마 왓슨)와 론(루퍼트 그린트)과의 관계도 소원하고 예언자 일보는 해리에 대해 악의적인 소문을 퍼뜨려 해리를 곤경에 빠뜨린다. 초챙(케이티 렁)과의 로맨스도 힘에 겹다. 게다가 마법부는 볼드모트(랄프 파인즈)가 돌아왔다는 이야기를 애써 모른 체 하려 하고 오히려 호그와트 교장 덤블도어가 헛소문을 퍼트려 마법부의 권위를 실추시킨다며 비난한다. 여기에 마법부 장관 코넬리우스 퍼지는 새로운 어둠의 방어술 교수 자리에 자신의 심복 돌로레스 엄브리지를 임명해 덤블도어와 학생들을 감시하게 한다. 형편없는 그의 수업은 어둠의 마법에 대한 학생들의 방어능력을 한심한 수준으로 격하시킨다. 이제 해리포터는 호그와트로 다시 돌아온 악의 세력 볼드모트에 대항하기 위해 만들어진 마법사들의 비밀단체 불사조기사단과 함께 볼드모트와 죽음의 대결은 준비한다. 그 와중에 해리는 소중한 사람의 죽음까지 맞이하는 아픔을 겪게 되는데…위기에 빠진 호그와트!해리포터와 불사조 기사단, 모든 것이 그들 손에 달렸다!!",해리포터와 불사조 기사단
인어가 잠든 집,6.7,2.2,22.01.28,"어느 날 사랑하는 딸에게 닥친 뇌사라는 비극.나는 아직 내 아이의 손을 놓을 준비가 되지 않았습니다.소중한 딸 `미즈호`에게 어느 날 갑작스러운 사고가 일어난다.사고 이후 `미즈호`의 의식은 돌아오지 않고, 의사는 뇌사 선고와 함께 장기 기증을 제안한다.마지막 인사를 하던 그때, 엄마 `카오루코`는 ‘미즈호’의 미세한 움직임을 느끼고 장기 기증을 거절한다. 모두가 `미즈호`가 일어나지 못할 거라고 말하지만 `카오루코`는 언젠가 일어날 것이라는 기적을 믿는다.안녕, 엄마. 건강하게 잘 지내사랑하는 나의 아가, 영원히 영원히 지켜줄게",인어가 잠든 집
어나더 라운드,8.4,1.1,22.01.19,"각각 역사, 체육, 음악, 심리학을 가르치는 같은 고등학교 교사 니콜라이, 마르틴, 페테르, 톰뮈는 의욕 없는 학생들을 상대하며 열정마저 사라지고 매일이 우울하기만 하다. 니콜라이의 40번째 생일 축하 자리에서 “인간에게 결핍된 혈중 알코올 농도 0.05%를 유지하면 적당히 창의적이고 활발해진다”는 흥미로운 가설에 대한 이야기를 나누고, 마르틴이 실험에 들어간다. 인기 없던 수업에 웃음이 넘치고 가족들과의 관계에도 활기가 생긴 마르틴의 후일담에 친구들 모두 동참하면서 두 가지 조건을 정한다.[언제나 최소 0.05%의 혈중 알코올 농도 유지할 것! 밤 8시 이후엔 술에 손대지 않을 것!]지루한 교사, 매력 없는 남편, 따분한 아빠, 최적의 직업적, 사회적 성과를 위해 점차 알코올 농도를 올리며 실험은 계속되는데… 과연 술은 인간을 더 나은 상태로 만들 수 있을지, 도전의 결말은?!",어나더 라운드
장민호 드라마 최종회,9.9,1.0,22.01.24,"노래, 댄스, 예능은 물론 퍼포먼스까지!만능엔터테이너이자 트로트 꽃사슴으로 불리는아티스트 장민호의 생애 첫 단독 콘서트 실황과 무대 밖 미공개 영상그리고 팬들을 향한 그의 진심을 담은 콘서트 무비",장민호 드라마 최종회
나의 촛불,9.7,0.8,22.02.10,"2016년 전세계가 주목한 그 시작의 날진보와 보수를 넘나드는 정치인들이 그날의 비화를 증언한다!​부정부패와 국정농단으로 국민들을 우롱했던 날들.대한민국의 1,600만명이 한 목소리로 세상을 바꿨던 그때를 기억합니다.​전세계가 주목한 가장 위대했던 그때의 뒷 이야기들을김의성, 주진우가 고영태, 김성태, 박영석, 손석희, 심상정, 유시민, 윤석열, 추미애,그리고 촛불 시민들과 함께 모두 풀어냅니다.​""모두가 불가능 할 것이라 했던 변화를 이끈 건 광화문에서 밝힌 국민들의 촛불이었다""​촛불혁명 후 5년.차가워진 당신의 심장을 다시 뛰게 할 영화, 아직 꺼지지 않은 <나의 촛불>",나의 촛불
하우스 오브 구찌,7.4,0.7,22.01.12,“죽여서라도 갖고 싶은 그 이름” 처음부터 사랑에 빠졌던 그 이름 구찌내 것이 될수록 더욱 갖고 싶었던 이름누구에게도 뺏길 수 없었던 그 이름구찌를 갖기 위해 구찌를 죽이기로 했다.,하우스 오브 구찌
드라이브 마이 카,8.1,0.7,21.12.23,"누가 봐도 아름다운 부부 가후쿠와 오토.우연히 아내의 외도를 목격한 가후쿠는 이유를 묻지 못한 채 갑작스럽게 아내의 죽음을 맞이하게 된다.2년 후 히로시마의 연극제에 초청되어 작품의 연출을 하게 된 가후쿠.그는 그곳에서 자신의 전속 드라이버 미사키를 만나게 된다.말없이 묵묵히 가후쿠의 차를 운전하는 미사키와 오래된 습관인 아내가 녹음한 테이프를 들으며 대사를 연습하는 가후쿠.조용한 차 안에서 두 사람은 점점 마음을 열게 되고, 서로가 과거의 아픔에서 벗어나지 못한 것을 알게 된다.그리고 눈 덮인 홋카이도에서 내면에 깊숙이 자리 잡은 서로의 슬픔을 들여다보게 되는데….",드라이브 마이 카
특송,8.0,0.6,22.01.12,2022년을 여는 가장 짜릿한 범죄 오락 액션의 탄생! 예상치 못한 배송사고로 걷잡을 수 없는 사건에 휘말린특송 전문 드라이버 ‘은하’.어쩌다 맡게 된 반송 불가 수하물에 출처를 알 수 없는 300억까지!경찰과 국정원의 타겟이 되어도심 한복판 모든 것을 건 추격전을 벌이게 되는데…NO브레이크! FULL엑셀!성공률 100% 특송 전문 드라이버가 온다!,특송
원 세컨드,9.8,0.4,22.01.27,"영화 시작 전 상영되는 뉴스 필름에오랫동안 헤어져 있던 딸이 등장한다는 소식을 알게 된 장주성은텅 빈 사막을 헤치고 외딴 마을의 영화관으로 향한다.그러나 눈 앞에서 정체불명의 필름 도둑이 필름을 훔쳐 달아나 버리는 모습을 목격하고황급히 그 뒤를 쫓아 나서는데…딸의 모습이 담긴 시간은 단 1초,딸을 만나기 위한 아버지의 눈물의 여정이 시작된다",원 세컨드
데드락: 라스트 리벤지,0.0,0.4,22.01.28,"마약소굴을급습하던경찰의실수로아들이현장에서억울하게죽었다고생각하는론은복수를결심한다. 무장한 용병을 이끌고 수력 발전소에 침입해 직원들을 인질로 삼고, 경찰의 잘못을 인정하지 않으면 마을전체를물에잠기게하겠다며협박하는데...",데드락  라스트 리벤지
킹스맨: 퍼스트 에이전트,7.5,0.3,21.12.22,"역사상 최악의 폭군들과 범죄자들이 모여수백만 명의 생명을 위협할 전쟁을 모의하는 광기의 시대.이들을 막으려는 한 사람과그가 비밀리에 운영 중인 독립 정보기관,`킹스맨`의 최초 미션이 시작된다!12월, 베일에 감춰졌던 킹스맨의 탄생을 목격하라!",킹스맨  퍼스트 에이전트
웨스트 사이드 스토리,7.9,0.3,22.01.12,"“우리를 위한 세상이 있을 거야!”스티븐 스필버그 감독의 첫번째 뮤지컬 영화“예전과는 다르게 살고 싶어”뉴욕 변두리를 장악한 제트파의 일원 `토니`(안셀 엘고트)는어두운 과거를 뒤로하고 새로운 삶을 시작하려 한다.“나도 멋지게 내 인생 살아보고 싶어”제트파의 라이벌 샤크파의 리더 `베르나르도`의 동생 `마리아`(레이첼 지글러)는고향인 푸에르토리코를 떠나 정착한 뉴욕에서 새로운 삶에 대한 희망에 부풀고오빠의 그늘에서 벗어나 자신만의 인생을 찾고자 한다“널 본 순간 다른 건 무의미해졌어”무도회에서 우연히 만나 첫눈에 사랑에 빠진 마리아와 토니.하지만 뉴욕의 웨스트 사이드를 차지하기 위한 샤크파와 제트파의 갈등은 점차 깊어지고`마리아`와 `토니`는 자신들의 환경을 벗어나 새로운 삶을 함께 하기로 하는데…1월,새로운 세상을 꿈꾸는 모두를 위한 이야기가 시작된다.",웨스트 사이드 스토리
엔드게임: 나는 킬러다,5.9,0.3,22.01.20,"기억을 잃었다. 병원에서 홀로 깨어났다. 하지만 이 손놀림, 이 운동신경, 이 흘러 넘치는 멋짐. 그렇다, 나는 킬러다",엔드게임  나는 킬러다
