영화제목,예매율,개요,감독,배우,개봉일,상영시간,평점,영화코드
해적: 도깨비 깃발,38.45,모험_액션_코미디,김정훈,강하늘_한효주_이광수_권상우,2022.01.26,125,7.31,194204
킹메이커,21.0,드라마,변성현,설경구_이선균,2022.01.26,123,8.12,177366
스파이더맨: 노 웨이 홈,7.57,액션_모험_SF,존 왓츠,톰 홀랜드_젠데이아 콜먼_베네딕트 컴버배치_존 파브로_제이콥 배덜런_마리사 토메이_알프리드 몰리나,2021.12.15,148,8.89,208077
극장판 안녕 자두야: 제주도의 비밀,7.11,애니메이션,손석우,여민정_김영은_정혜옥_정유미_양정화,2022.01.27,90,9.45,208821
씽2게더,6.52,애니메이션,가스 제닝스,매튜 맥커너히_리즈 위더스푼_스칼릿 조핸슨_태런 에저튼_토리 켈리_퍼렐 윌리엄스_보노,2022.01.05,110,9.44,187320
프랑스,2.96,드라마,브루노 뒤몽,레아 세이두_블랑쉬 가르딘_벤자민 비올레이,2022.01.13,133,7.68,206654
어나더 라운드,2.37,드라마,토마스 빈터베르그,매즈 미켈슨_토머스 보 라센_라르스 란데,2022.01.19,116,8.15,194813
드라이브 마이 카,2.11,드라마,하마구치 류스케,니시지마 히데토시_미우라 토코,2021.12.23,179,8.61,205623
하우스 오브 구찌,1.71,스릴러_드라마_범죄,리들리 스콧,레이디 가가_아담 드라이버_자레드 레토_제레미 아이언스_알 파치노_셀마 헤이엑,2022.01.12,158,7.94,200892
특송,1.65,범죄_액션,박대민,박소담_송새벽_김의성_정현준,2022.01.12,108,8.29,186233
미싱타는 여자들,1.45,다큐멘터리,이혁래_김정영,이숙희_신순애_임미경,2022.01.20,108,9.68,198967
원 세컨드,1.05,드라마,장이머우,장역_범위_류 하오춘,2022.01.27,103,7.50,183077
해피 아워,0.92,드라마,하마구치 류스케,타나카 사치에_기쿠치 하즈키_미하라 마이코_카와무라 리라,2021.12.09,328,8.78,142855
경관의 피,0.86,범죄_드라마,이규만,조진웅_최우식_박희순_권율_박명훈,2022.01.05,119,7.60,190400
청춘적니,0.59,멜로/로맨스_드라마,샤 모,굴초소_장정의,2022.01.12,105,7.50,210853
티탄,0.53,드라마_SF_스릴러,쥘리아 뒤쿠르노,아가트 루셀_뱅상 랭동_가렌스 마릴러,2021.12.09,108,6.91,206641
해탄적일천,0.46,드라마,에드워드 양,실비아 창_호인몽,2022.01.06,166,8.26,16064
웨스트 사이드 스토리,0.39,드라마_뮤지컬,스티븐 스필버그,안셀 엘고트_레이첼 지글러_아리아나 데보스_데이비드 알바즈_마이크 파이스트,2022.01.12,156,6.62,180429
레지던트 이블: 라쿤시티,0.39,액션_공포,요하네스 로버츠,카야 스코델라리오_해나 존-케이먼_로비 아멜_톰 호퍼_에반 조지아_다널 로귀_닐 맥도프,2022.01.19,107,5.43,212886
코다,0.33,드라마,션 헤이더,에밀리아 존스_퍼디아 월시-필로_트로이 코처_다니엘 듀런트_말리 매트린_에우헤니오 데르베스_에이미 포사이스,2021.08.31,111,9.23,201073
도쿄 리벤저스,0.26,드라마_액션,하나부사 츠토무,키타무라 타쿠미_이마다 미오_요시자와 료_야마다 유키_스기노 요스케_스즈키 노부유키_이소무라 하야토_마에다 고든_마미야 쇼타로_시미즈 히로야,2022.01.19,120,8.35,196984
효자,0.2,코미디_공포,이훈국,연운경_김뢰하_이철민_정경호_박효준_전운종_안민영_엄주연,2022.01.27,117,9.82,208839
퍼스트 카우,0.2,드라마,켈리 라이카트,존 마가로_오리온 리,2021.11.04,122,8.31,190763
인어가 잠든 집,0.13,드라마,츠츠미 유키히코,시노하라 료코_니시지마 히데토시_사카구치 켄타로_카와에이 리나,2022.01.28,120,8.36,180423
전장의 피아니스트,0.13,드라마_전쟁,지미 카이루즈,타렉 야쿱_아델 카람,2022.01.06,110,8.65,194838
걸 위드 더 카메라,0.07,다큐멘터리,안희수,,2022.01.20,69,9.60,199668
보는 것을 사랑한다,0.07,다큐멘터리,윤기형,봉준호_최불암_박정자_전무송_한명숙_임순례_전노민_지상렬,2021.10.28,75,9.70,210266
러브레터,0.07,드라마_멜로/로맨스,이와이 슌지,나카야마 미호,2022.01.06,117,9.13,19031
바이올렛 에버가든 오케스트라 콘서트 2021,0.07,공연실황,요시다 교이치,이시카와 유이_치하라 미노리,2022.01.13,139,9.32,213205
킹스맨: 퍼스트 에이전트,0.07,액션,매튜 본,랄프 파인즈_해리스 딕킨슨,2021.12.22,130,8.06,159893
극장판 천재 추리 탐정 셜록홈즈,0.01,애니메이션_모험,추영조_원건도,석승훈_김용_서정익_박시윤,2022.01.27,84,9.49,195491
장민호 드라마 최종회,0.01,공연실황,장민호,,2022.01.24,106,9.85,213746
프리! 더 파이널 스트로크 전편,0.01,애니메이션,카와나미 에이사쿠,시마자키 노부나가_스즈키 타츠히사_미야노 마모루_우치야마 코우키,2022.01.20,86,9.46,213620
존경하고 사랑하는 국민 여러분,0.01,다큐멘터리,김진홍,김대중_이재정_유시민_문성근_이동형_장영달_민승연,2022.01.27,82,5.60,183780
트로트는 인생이다,0.01,코미디,투케이,장소영_김경진_김동찬,2022.01.27,76,9.58,208873
엔드게임: 나는 킬러다,0.01,드라마_범죄_코미디,요효지,유덕화_샤오양_완첸_황소뢰,2022.01.20,120,7.83,206029
미스터 앤 미세스 아델만,0.01,코미디_드라마_멜로/로맨스,니콜라스 베도스,도리아 틸리에_니콜라스 베도스,2022.01.20,121,8.00,167588
캐롤,0.01,드라마_멜로/로맨스,토드 헤인즈,케이트 블란쳇_루니 마라_카일 챈들러,2021.01.27,118,8.62,101962
타오르는 여인의 초상,0.01,드라마,셀린 시아마,아델 에넬_노에미 메를랑_루아나 바야미_발레리아 골리노,2020.01.16,121,9.06,185282
밀라노 두오모 콘서트,0.01,공연실황,김우철,리카르도 샤이,2019.09.06,99,10.00,188351
비욘드라이브 더 무비 : 엔시티 레조넌스,0.01,공연실황,,,2022.01.12,122,9.58,208857
레전더리 콘서트: 레너드 번스타인,0.01,공연실황,레너드 번스타인,귀네스 존스,2021.01.01,78,0.00,197470
레전더리 콘서트: 카를로스 클라이버,0.01,공연실황,카를로스 클라이버,,2020.12.02,75,0.00,197555
블루버스데이,0.01,멜로/로맨스_드라마_스릴러,박단희,예리_홍석,2022.01.19,137,9.02,208814
클리포드 더 빅 레드 독,0.01,모험_드라마_가족,월트 베커,다비 캠프_잭 화이트홀_존 클리즈_시에나 길로리,2022.01.12,97,8.49,210806
램,0.01,스릴러_공포,발디마르 요한손,누미 라파스_힐미르 스나에르 구오나손_비욘 흘리뉘르 하랄드손,2021.12.29,106,6.46,205625
불한당: 나쁜 놈들의 세상,0.01,범죄_액션_드라마,변성현,설경구_임시완,2017.05.17,120,6.49,154112
비올레타,0.01,드라마,에바 이오네스코,이자벨 위페르_드니 라방_아나마리아 바토로메이,2022.01.13,107,7.06,88723
"틱, 틱... 붐!",0.01,드라마_뮤지컬,린-마누엘 미란다,앤드류 가필드_알렉산드라 쉽_로빈 드 지저스_바네사 허진스_브래드리 휘트포드_주디스 라이트,2021.11.12,120,8.77,210808
프렌치 디스패치,0.01,코미디_드라마_멜로/로맨스,웨스 앤더슨,틸다 스윈튼_프란시스 맥도맨드_빌 머레이_제프리 라이트_애드리언 브로디_베니시오 델 토로_오웬 윌슨_레아 세이두_티모시 샬라메_리나 쿠드리_스티브 박_마티유 아말릭,2021.11.18,107,7.98,187312
