title,description,pubDate
"코스콤, 창사 45년 만에 사옥 마련",코로나19에 대비한 분리 근무 사무실과 지방 근무자의 본사 출장 시 업무 연속성을 보장하기 위해 별도의 스마트오피스 공간도 마련했다. 에너지 절감을 위해 전층 LED 전등 설치 및 창문 단열필름을 시공했으며 전기차...,"Fri, 04 Feb 2022 14:49:00 +0900"
"광주광역시 동구, 빛·도심야간관광...체류형 문화관광도시 청사진",특히 코로나일상시대에 발맞춰 비대면 방식으로 즐길 수 있는 ‘스마트 관광환경’을 조성하고자 올해부터 내년까지 모바일 앱 제작 및 스마트패드 구축을 통해 맞춤형 서비스를 제공할 방침이다. 이는 코로나19 장기화로...,"Fri, 04 Feb 2022 14:49:00 +0900"
[D:히든캐스트(76)] 뮤지컬 배우 ‘최하은’의 또 다른 꿈,"‘썸씽로튼’ 두 번째 시즌 오디션 소식을 듣고, 초연 때 너무 즐겁고 행복했던 공연이었는데 코로나19로... 사실 초연 때는 조금 늦게 합류해서 따라가기 바빴고, 조금 적응하려던 찰나 코로나19로 인해 멈췄던 날들이...","Fri, 04 Feb 2022 14:49:00 +0900"
‘코로나 확진’ 브레이브걸스 유나 “맛이 안 느껴져” 호소,신종 코로나바이러스 감염증(코로나19) 확진 판정을 받은 그룹 브레이브걸스의 멤버 유나(본명 이유나·사진)가 근황을 전했다. 유나는 4일 인스타그램 스토리를 통해 자가격리 근황을 전했다. 유나는 “4일차쯤...,"Fri, 04 Feb 2022 14:49:00 +0900"
대전교육청 '시차등교' 등 코로나19 확산 대응 강화,"대전교육청은 설 명절 이후 코로나19 확산에 따라 다각적인 학교 현장 대응 강화 방침을 시행한다고 4일... 대전교육청 관계자는 ""코로나19 검사체계 개편에 따른 교육현장의 혼란이 최소화될 수 있도록 노력하겠다""며...","Fri, 04 Feb 2022 14:48:00 +0900"
"식약처, 자가검사키트 시장 안정화 조치 강화",사진/식약처 식품의약품안전처(이하 식약처)가 코로나19 자가검사키트의 안정적 공급을 위해 공급·유통... 식약처는 지난 3일 공중보건 위기상황에 효과적으로 대비하기 위해 코로나19 항원검사시약(개인용·전문가용)를...,"Fri, 04 Feb 2022 14:48:00 +0900"
"영등포구, 만성질환 예방 '헬스리셋 프로젝트' 운영","최근 코로나19 장기화에 오미크론 확산까지 더해져 활동량이 급격히 줄어들면서 많은 사람들의 건강에 적신호가 켜졌다. 이에 영등포구는 헬스리셋 프로젝트를 통해 맞춤형 운동 처방과 상담을 제공하고, 규칙적인 운동...","Fri, 04 Feb 2022 14:48:00 +0900"
"가평군 조종면, 운악건설·노리파크에서 이웃돕기 성금·품 기탁",운악건설·노리파크 대표 이현중은 “코로나19와 한파로 인해 어려움을 겪고 있는... 권택순 조종면장은 “코로나 어려운 상황 속에서도 어려운 이웃을 생각하는...,"Fri, 04 Feb 2022 14:48:00 +0900"
"[생활경제 이슈] 배우 최희서, 꼬달리 뷰티 케어 화보 공개 外",인에이트 캐비아(KAVIAR) 마케팅팀김미경 팀장은 “코로나로 인해 모임이 어려워진 시기라 랜선 시음회라는 특별한 이벤트를 기획하게 됐다. 단순히 먹고 마시는 자리가 아닌 음식과 맥주에 대한 다양한 정보를 공유하며...,"Fri, 04 Feb 2022 14:48:00 +0900"
코로나19 변이 또 출현?...美뉴욕에서 ‘미보고’ 바이러스 대량 검출,"미국 뉴욕시의 오폐수에서 기존에 보고되지 않았던 코로나19 변이들이 여러 종 발견됐다고 뉴욕타임스(NYT)가 3일(현지시간) 보도했다. NYT는 “텍사스A&amp;M대, 미주리대, 퀸스칼리지 등 연구진이 코로나19 바이러스 추적...","Fri, 04 Feb 2022 14:47:00 +0900"
영업시간 어기고 몰래 손님받은 노래주점 4곳·80명 적발,부산 부산진경찰서는 코로나19 특별단속을 실시해 불법영업 업소 4곳에서 80명을 단속했다고 4일 밝혔다.... 통한 코로나19 확산 방지에 최선을 다하겠다”고 말했다. 한편 부산에서는 유흥시설 등 운영시간이 오전...,"Fri, 04 Feb 2022 14:47:00 +0900"
[뉴스메이커] 장이머우,"코로나19 확산을 막기 위해 출연자 수도 4천 명 안팎으로 줄었고, 미국을 비롯한 일부 서방국가의 외교적 보이콧으로 외빈도 감소했죠. 그럼에도 불구하고 자신감을 내비친 장이머우 감독. 그는 어떤 개회식으로 전...","Fri, 04 Feb 2022 14:47:00 +0900"
[양주소식]지방도 375호선 자전거도로 재포장 정비공사 추진 등,"교육대상은 양주시에 주소지를 둔 만 40세 이상 만 67세 이하의 구직자로 총 20명을 모집하며, 직장 4대보험 미가입자이면서 코로나19 백신 2차 접종 완료자에 한해 참여할 수 있다. 단 고용센터 국민취업지원제도 등 타...","Fri, 04 Feb 2022 14:47:00 +0900"
