title,description,pubDate
집값 대세 상승기 끝났나…대선국면 대출규제와 금리상승의 위력,"코로나19 충격이 컸던 2020년 4?5월(각각 91, 92)을 제외하면 2019년 5월 이후 처음이다. 6개 광역시와 기타도시도 101로 간신히 상승 전망 우세를 지켰다. 이 같은 주택가격 전망 추이는 증시 움직임과도 꽤 일치한다. 주식...","Fri, 04 Feb 2022 15:36:00 +0900"
"코만 가린 '코스크' 해외서 뜻밖의 호평...""없는 것보다 낫다""","가디언은 ""보이는 것만큼 우스꽝스럽지 않을 수 있다""면서 ""일부 연구에 따르면 코는 코로나 바이러스가 몸에 들어오는 가장 쉬운 경로""라며 코스크가 효과가 있을 수도 있다는 견해를 전했다. 미국 워싱턴포스트(WP)도 지난...","Fri, 04 Feb 2022 15:36:00 +0900"
광주도 '6인·밤 9시' 20일까지 연장…어린이집·유치원도 휴원,"이 시장은 ""과도한 공포와 불안을 가질 필요는 없지만, 그렇다고 해서 독감 수준이라는 안일한 생각과 대처도 버려야 한다""며 ""코로나19는 시민에게 치명적인 결과를 줄 수도 있으니 높은 긴장감과 경각심을 유지해야...","Fri, 04 Feb 2022 15:36:00 +0900"
"우리넷, 지난해 매출 전년比 15.4% 오른 604억...영업익·당기순익 흑자전환","우리넷 관계자는 ""코로나19 여파에도 당사가 영위하는 사업 전 부분에서 매출이 증가함에 따라 호실적을 기록하게 됐다""라며 ""신규 사업에 대한 적극적인 투자하는 등 역량을 강화해 올해에도 견조한 실적을 이룰 것...","Fri, 04 Feb 2022 15:36:00 +0900"
[베이징 2022] 동원 관중으로 채우는 ‘시진핑 올림픽’,"9만1000명을 수용할 수 있는 규모지만, 중국 정부가 코로나 방역을 이유로 개회식 참석을 제한하면서 경기장이 한산할 것으로 예상된다. 중국을 대표하는 영화감독 장이머우가 2008년에 이어 2022년 올림픽 개막식...","Fri, 04 Feb 2022 15:36:00 +0900"
"'제이미 출연' 해긴-지니뮤직, 메타버스 음악 토크쇼 'L1STEN' 개최","맞춤형 음악 토크쇼를 준비했다""며, ""플레이투게더 유저 분들과 제이미를 사랑하는 글로벌 팬 분들 모두 한 자리에 모여 코로나19 걱정 없이 즐거운 공연을 즐기고 자유롭게 소통하는 시간이 되기를 바란다""고 전했다.","Fri, 04 Feb 2022 15:36:00 +0900"
[카드뉴스] 강원 강릉시 주요 뉴스 (2월 4일),"주요 점검 내용은 안전관리 부문(▲작업자 안전조치 적정 여부, ▲안전시설 적정 설치, ▲화재예방시설 구비 등)과 품질관리 부문(▲각종 자재 품질 확인, ▲공정관리 적정 여부 등) 및 코로나19 방역 관리 등이다....","Fri, 04 Feb 2022 15:36:00 +0900"
"계양소방서, 응급처치교육 기자재 ‘무료’로 이용하세요!",응급처치교육 기자재 무료 대여 서비스는 코로나19의 심각단계와 지역사회의 지속적인 감염 확산에 따라... 소방서 관계자는 “기자재 무료 대여 서비스를 통해 시민의 초기응급처치 능력을 향상하고 코로나19로 위축된...,"Fri, 04 Feb 2022 15:36:00 +0900"
"전라남도, 오미크론 맞춤형 방역 본격화","신속항원검사 대상자는 고열 및 코로나 의심환자, 급성 호흡기 증상 환자, 코로나 신속항원검사가 필요한 희망자 등으로 진찰료는 5천 원이며 개인 부담이다. 신속항원검사 결과 양성이면 PCR 검사부터 재택치료, 먹는...","Fri, 04 Feb 2022 15:36:00 +0900"
배달앱 쓰면서 수정은 어렵다?…'원산지 거짓 표시' 둘러싼 불편한 진실,"2% 늘어 역대 최대치를 갈아치웠다. 코로나19 사태가 길어지면서 배달앱 등으로 음식을 주문하고, 온라인으로 식료품을 구매해 집에서 식사를 해결하는 사람이 증가한 영향으로 풀이된다.","Fri, 04 Feb 2022 15:36:00 +0900"
"새해 첫 혁신위 개최한 LH ""올해 18만호 공급…역대 최대""","LH는 부동산 시장 안정과 더불어 코로나19로 침체된 지역경제·건설 산업 활성화에 크게 기여할 것으로 기대하고 있다. 이와 함께 3기 신도시, 2·4대책 등의 주택 공급시기를 최대한 앞당기고, 도심 내 청년주택 확대...","Fri, 04 Feb 2022 15:36:00 +0900"
"가수 임창정, 병원 앞 '공짜' 공연 자처한 이유",가수 임창정이 코로나19로 지친 의료진을 위로하고자 따뜻한 마음을 전했다. 임창정은 4일 낮 12시 30분 인제대학교 서울백병원에서 코로나19 여파로 고생하는 의료진을 위해 스페셜 공연을 개최했다. 이번 공연에서...,"Fri, 04 Feb 2022 15:36:00 +0900"
"오비맥주 카스, ‘2022 대한민국 브랜드 명예의 전당’ 맥주 부문 3년 연속 1...",카스는 코로나19 장기화로 어려움을 겪고 있는 시장 상황속에서 시대상을 반영한 마케팅으로 소비자들과의 공감대를 한층 높였다. 이 시대의 솔직함과 당당함을 상징하는 배우 윤여정을 ‘올 뉴 카스’의 광고모델로...,"Fri, 04 Feb 2022 15:36:00 +0900"
전남 작년 수산물 수출 3억 달러 돌파,"전라남도는 코로나19 장기화 영향에도 2021년 수산물 수출액이 전년(2억 7800만 달러)보다 9.8% 늘어난 3억... 세계 식품시장은 코로나19 및 인구감소·저출산·고령화로 소비 트렌드가 급격히 변화하고 있으며, 안전하고...","Fri, 04 Feb 2022 15:36:00 +0900"
방역당국 “오미크론 폭발적 전파 대응 위해 신속항원검사 필요”,3일 오전 서울 은평구 신비의숲 코로나19 신속항원검사소에서 시민들이 신속항원검사를 받고 있다.   사진=박효상 기자 방역당국이 코로나바이러스감염증-19(코로나19) 오미크론 변이에 대응하기 위해 코로나19...,"Fri, 04 Feb 2022 15:36:00 +0900"
"한국콜마, '제7회 석오기술상' 우수 연구원 7명 시상","한국콜마 관계자는 ""신종 코로나바이러스 감염증(코로나19) 장기화로 침체된 시장 환경에도 혁신적인 기술과 제품을 향한 연구원들의 뜨거운 열정이 돋보였다""며 ""앞으로도 한국콜마의 융합기술 시너지를 창출해...","Fri, 04 Feb 2022 15:36:00 +0900"
"삼성전자, 창사 이래 첫 '파업 위기'… 노조, 쟁의권 확보 나서",노조 측은 ▲전 직원 계약 연봉 1000만원 일괄 인상 ▲매년 영업이익 25％ 성과급 지급 ▲자사주 1인당 107만원 지급 ▲신종 코로나바이러스 감염증(코로나19) 격려금 1인당 350만원 지급 등을 요구했다. 하지만 회사 측이...,"Fri, 04 Feb 2022 15:36:00 +0900"
"[창원24시] 창원시, 창원형 공공 배달앱 이름 공모","정현섭 경제일자리국장은 ""소상공인의 배달앱 수수료·광고비 절감과 코로나19로 인해 계속되는 부담을 경감시키고자 창원형 공공 배달앱을 준비하고 있다""며 ""네이밍 공모전에 많은 시민이 참여해 창원을 대표하는...","Fri, 04 Feb 2022 15:36:00 +0900"
"코자총, 거리두기 연장에 폭발…삭발식 등 단체 행동 예고",한국외식업중앙회 등 10개 소상공인 단체로 구성된 '코로나 피해 자영업 총연대(코자총)'는 이날 정부의 사회적 거리두기 2주 연장 조치에 즉각 회의를 소집해 추가 단체행동에 나설 것을 결의했다고 밝혔다. 코자총은...,"Fri, 04 Feb 2022 15:35:00 +0900"
평창 코로나19 확진자 11명(385~395번) 발생,"서울거주 6세 남아(386번)도 선행 확진된 엄마와 접촉해 확진됐다. 평창 70대 여성(387번)은 선행 확진된 손녀딸과 접촉해 감염됐다. 이날 확진된 평창지역 거주 30대 여성(388번)과 7세 남아(389번), 9새 여학생(390번)은...","Fri, 04 Feb 2022 15:35:00 +0900"
"울산 중구, 야간에도 세무민원 상담실 운영",또 코로나19 등으로 경제적 어려움을 겪고 있는 생계형 납세자를 대상으로 징수 유예 및 분납 유도 등 재정상황을 고려한 맞춤형 징수 활동도 펼칠 계획이다. 한편 중구는 지난해 코로나19로 인한 경기 침체 등 어려운...,"Fri, 04 Feb 2022 15:35:00 +0900"
"[창녕24시] 창녕군, 미세먼지 대응 배출가스 저감 추진","창녕군은 코로나19로 인한 장기간의 휴관 기간을 활용해 전시‧체험 내용을 보강하고, 지난해 7월 재개관했다. 관람 시간은 오전 10시부터 오후 5시까지다. 매주 월요일(단, 공휴일이면 다음날) 휴관한다. 한정우 군수는...","Fri, 04 Feb 2022 15:35:00 +0900"
"닥터나우, 서울 코로나 진료소 정보제공 '코로나우' 운영",원격의료 플랫폼 닥터나우가 코로나 검사 체계가 개편에 맞춰 서울시 코로나 선별 진료소 정보확인 서비스 '코로나우'를 운영한다고 4일 밝혔다. 그동안 각 지자체에서는 선별진료소 운영 정보를 공개해왔으나 이용자가 각...,"Fri, 04 Feb 2022 15:35:00 +0900"
"오미크론에 역학조사 사실상 포기, 다음주부터 확진자 스스로 기입해야",오는 7일부터 코로나19(COVID-19) 역학조사 방식이 바뀐다. 확진 판정을 받은 사람은 스마트폰에 본인의 동선을... 앞으로는 코로나19 확진 판정을 받으면 보건소와 유선 통화로 확진 사실과 주의사항을 안내받게 된다. 이후...,"Fri, 04 Feb 2022 15:35:00 +0900"
"[대구24시] ""조용한 살인마 '이산화탄소 소화설비' 의무설치 법 개정 시급""","대구시는 ""지난달 3주차부터 오미크론 변이로 인한 코로나19 확진자수가 급격히 증가해 오미크론 국내 검출률이 매주 2배씩 늘어나는 등 향후 상당기간 확진자수가 계속 늘어날 것""이라며 이같이 밝혔다. 이어 ""설 연휴...","Fri, 04 Feb 2022 15:35:00 +0900"
재택치료 10만명대…역학조사 간소화하고 ‘먹는 치료제’ 50대에도 처방,코로나19 신규 확진 규모가 연일 2만명대를 기록하면서 재택치료 환자가 10만명을 넘어섰다. 정부는 경증... 동네 병·의원 2300여곳이 코로나19 검사·진료에 참여하기로 신청한 가운데 검사비 유료 적용 논란 등 체계 전환...,"Fri, 04 Feb 2022 15:35:00 +0900"
"위성곤, 6년째 '국감 우수 국회의원' 선정","위 의원은 올해 국정감사에서 코로나 시대 농어업의 중요성을 강조하며, 수입에 지나치게 의존하고 있는 국내 농수산물 수급정책의 문제점을 집중적으로 파헤쳤다는 평가를 받았다.","Fri, 04 Feb 2022 15:34:00 +0900"
"[기업사회활동] 바디프랜드, 설 명절 안마의자•직접 만든 음식 전달로 이웃사...","명절마다 보육생과 교사들을 위해 식사를 제공해오고 있었으나, 신종 코로나바이러스 감염증(코로나19) 사태로 사회적 거리두기가 강화되고 있는 만큼 식재료를 전달하는 것으로 대체했다. 전달식은 코로나19...","Fri, 04 Feb 2022 15:34:00 +0900"
"의성슈퍼푸드마늘축제, 경상북도 지정축제 선정",2018년 의성 마늘의 우수성 홍보를 위해 시작된 의성슈퍼푸드마늘축제는 지난해 코로나19로 인해 온라인 축제를 추진하며 축제의 새로운 지평을 열었다. 의성슈퍼푸드마늘축제는 코로나로부터 안전하며 전국적인 홍보...,"Fri, 04 Feb 2022 15:34:00 +0900"
"신천지 자원봉사단 강릉지부, 남대천 환경정화 '봉사활동'","한편 신천지 자원봉사단은 환경정화 봉사 외에도 코로나 극복 희망 프로젝트의 일환으로 꾸준히 방역 봉사를 했으며, '착한 기부 착한 소비 캠페인'으로 관내 소상공인 살리기와 취약계층 돕기를 동시 진행했다. 또한...","Fri, 04 Feb 2022 15:34:00 +0900"
"성주군, 오미크론과의 마지막 전쟁을 선포하다","▲ 성주군, 오미크론과의 마지막 전쟁을 선포하다  성주군은 코로나19 확진자가 전국 2만7천명대를 넘어서는... 코로나19 완전 종식을 위한 특별방역대책은 크게 4가지이다. 집단감염의 위험이 높은 고위험시설...","Fri, 04 Feb 2022 15:34:00 +0900"
부평구 다목적실내체육관 증축공사 준공,구는 코로나19 확산에 따라 당초 개최 예정이었던 준공식 행사를 취소하고 이날 점검으로 대체했다. 구는 국가균형발전 특별회계 등 사업비 8억4천만 원을 투입해 다목적실내체육관 지상 2층 총 304㎡를 증축했다. 이번...,"Fri, 04 Feb 2022 15:34:00 +0900"
미술관 옆 상점들…울산시립미술관 방문객에 특별 혜택 제공,중구는 울산시립미술관 개관을 기념하는 동시에 코로나19로 인해 위축된 원도심 상권을 활성화하기 위해... 중구 관계자는 “이번 소비촉진 행사를 통해 코로나19 장기화와 경기 침체로 지친 시민들이 중구 원도심에서...,"Fri, 04 Feb 2022 15:34:00 +0900"
