title,description,pubDate
교육시설·대단지 아파트 배후수요 기대 '동래 아크로폴리스 상가',코로나19로 단축운영 되다 올해 준공으로 새롭게 분양된다. 총 344평의 대지면적으로 일반상업지역과 방화지구에 구축됐고 근린생활시설 및 업무시설이 구성돼 있다. 전용률이 74%로 타 상가 48~52% 대비 높다. 지하 1층에...,"Fri, 04 Mar 2022 10:00:00 +0900"
"부산은행, 저소득가정 학생에 디지털기기·학용품 후원",안전우산 지원 △활주로형 횡단보도 설치 등의 사업도 추진했다. 올해는 급증하는 코로나19 확산세에 대비하고자 지역 아동생활시설에 '코로나19 자가검사키트' 2300여개를 전달하는 등 다양한 사회공헌 활동을 실천 중이다.,"Fri, 04 Mar 2022 10:00:00 +0900"
음식점·카페 내일부터 밤 11시까지…의료계 “정책 판단 아쉬워”,전 장관은 “수도권과 비수도권 지역 모두 코로나19 위험도가 높음 수준을 이어가고 있다”며 “이번 주... 코로나 1일 신규 확진자 수가 최근 20만명대로 가파르게 상승하고 있는 데다 위중증 환자 및 사망자 수도...,"Fri, 04 Mar 2022 10:00:00 +0900"
"홍남기 ""유류세 인하 7월까지 연장""...인하폭 확대 검토","가공식품·외식업계 비용 부담 완화를 위해 사료·식품 원료구매자금 금리를 각각 0.5%포인트 낮추고, 코로나19 등으로 어려움을 겪는 개인사업자를 대상으로 4월 부가세 예정 고지 제외, 식품 포장재 교체 부담 완화 등을...","Fri, 04 Mar 2022 10:00:00 +0900"
"KT, 우수 대리점 발굴 활성화",이번 협약은 코로나로 침체된 유무선 시장 활성화와 좋은 일자리를 창출하는 대리점 확대에 대한 두 기관의... 최찬기 전무는 “코로나로 인한 우수 인력 이탈에 대한 고민으로 시작해 대리점의 비전을 제시할 수 있는...,"Fri, 04 Mar 2022 10:00:00 +0900"
"정부, 재외국민 대상 비대면 진료 법 개정 추진","또한 코로나19의 대규모 확산으로 국가간 이동이 제한되고 해외에 있는 한국의 코로나 확진 사례도 발생하면서 재외국민의 불안감은 더욱 커졌다는 것. 정부는 ""인하대병원 등 두 곳에서 재외국민을 대상으로 온라인...","Fri, 04 Mar 2022 10:00:00 +0900"
"울산교육청, 2022 취약계층 학생 통합지원 기본계획 발표","장기화되고 있는 코로나19로 취약계층 학생들은 학력뿐만 아니라 사회, 정서, 건강 등 전 영역에서 어려움을 겪고 있기에 이에 대한 신속하고 적극적인 지원책을 마련했다. 주요 내용으로 취약학생 발견ㆍ지원 시스템 정착...","Fri, 04 Mar 2022 10:00:00 +0900"
"'중증화 예방·오미크론 확산 방지'…고양시, 노인맞춤돌봄 수행기관에 신속 ...",고양시가 코로나19 증상이 있는 요보호 홀몸 어르신의 확진 여부를 신속히 파악해 중증화를 예방하고 오미크론 확산을 방지하기 위해 노인맞춤돌봄 수행기관에 신속항원 자가진단키트 600개를 지원한다고 3일 밝혔다....,"Fri, 04 Mar 2022 10:00:00 +0900"
"KT&amp;G-마포구청, 홍대 문화예술 관광특구 활성화 위한 MOU",사진=KT&amp;G ［월요신문=이인영 기자］KT&amp;G는 지난 3일 마포구청과 코로나19 장기화로 어려움을 겪고 있는 홍대 문화예술 관광특구 활성화를 위한 업무협약(MOU)을 체결했다고 4일 밝혔다. 홍대 문화예술 관광특구 안에...,"Fri, 04 Mar 2022 10:00:00 +0900"
"11일, 더존 법인세 신고 세미나 라이브방송","그밖에 포스트 코로나 시대를 대비해 재택근무에 따른 보안 이슈, 근로기준법 변경에 따른 효율적인 직원... 더존비즈온 관계자는 ""코로나19 어려움 속에서도 이를 딛고 법인세 신고 업무를 완벽히 처리할 수 있도록...","Fri, 04 Mar 2022 10:00:00 +0900"
